case	kind	index	ah	av	lh	lv	rh	rv
src-key2+37	R	26	197.922848665	300	197.922848665	300	197.922848665	300
src-key2+37	R	27	242.433234421	300	242.433234421	300	242.433234421	300
src-key2+37	R	28	304.747774481	300	304.747774481	300	304.747774481	300
src-key2+37	R	29	367.06231454	300	367.06231454	300	367.06231454	300
src-key2-37	R	0	100	100	100	100	100	100
src-key2-37	R	1	150	100	150	100	150	100
src-key2-37	R	2	210	100	210	100	210	100
src-key2-37	R	3	260	100	260	100	260	100
src-key2-37	R	4	330	100	330	100	330	100
src-key2-37	R	5	400	100	400	100	400	100
src-key2-37	R	6	408.441064639	140	408.441064639	140	408.441064639	140
src-key2-37	R	7	336.47148289	140	336.47148289	140	336.47148289	140
src-key2-37	R	8	264.501901141	140	264.501901141	140	264.501901141	140
src-key2-37	R	9	213.095057034	140	213.095057034	140	213.095057034	140
src-key2-37	R	10	151.406844106	140	151.406844106	140	151.406844106	140
src-key2-37	R	11	100	140	100	140	100	140
src-key2-37	R	12	100	190	100	190	100	190
src-key2-37	R	13	153.16539924	190	153.16539924	190	153.16539924	190
src-key2-37	R	14	216.963878327	190	216.963878327	190	216.963878327	190
src-key2-37	R	15	270.129277567	190	270.129277567	190	270.129277567	190
src-key2-37	R	16	344.560836502	190	344.560836502	190	344.560836502	190
src-key2-37	R	17	418.992395437	190	418.992395437	190	418.992395437	190
src-key2-37	R	18	431.653992395	250	431.653992395	250	431.653992395	250
src-key2-37	R	19	354.268060837	250	354.268060837	250	354.268060837	250
src-key2-37	R	20	276.882129278	250	276.882129278	250	276.882129278	250
src-key2-37	R	21	221.606463878	250	221.606463878	250	221.606463878	250
src-key2-37	R	22	155.275665399	250	155.275665399	250	155.275665399	250
src-key2-37	R	23	100	250	100	250	100	250
src-key2-37	R	24	100	300	100	300	100	300
src-key2-37	R	25	157.034220532	300	157.034220532	300	157.034220532	300
src-key2-37	R	26	225.475285171	300	225.475285171	300	225.475285171	300
src-key2-37	R	27	282.509505703	300	282.509505703	300	282.509505703	300
src-key2-37	R	28	362.357414449	300	362.357414449	300	362.357414449	300
src-key2-37	R	29	442.205323194	300	442.205323194	300	442.205323194	300
src-key3+37	R	0	100	100	100	100	100	100
src-key3+37	R	1	150	100	150	100	150	100
src-key3+37	R	2	210	100	210	100	210	100
src-key3+37	R	3	260	100	260	100	260	100
src-key3+37	R	4	330	100	330	100	330	100
src-key3+37	R	5	400	100	400	100	400	100
src-key3+37	R	6	400	132.6	400	132.6	400	132.6
src-key3+37	R	7	330	134.326666667	330	134.326666667	330	134.326666667
src-key3+37	R	8	260	136.053333333	260	136.053333333	260	136.053333333
src-key3+37	R	9	210	137.286666667	210	137.286666667	210	137.286666667
